Date,Open,High,Low,Close,Volume,Adj Close
2016-07-04,1340.579956,1345.72998,1324.859985,1325.540039,000,1325.540039
2016-07-01,1325.170044,1342.180054,1325.170044,1340.26001,000,1340.26001
2016-06-30,1309.579956,1324.380005,1300.689941,1323.579956,000,1323.579956
2016-06-29,1280.689941,1309.619995,1280.689941,1309.569946,000,1309.569946
2016-06-28,1247.00,1290.359985,1247.00,1278.52002,000,1278.52002
2016-06-27,1353.22998,1353.22998,1240.680054,1246.099976,000,1246.099976
2016-06-23,1354.579956,1366.97998,1347.430054,1360.72998,000,1360.72998
2016-06-22,1345.079956,1357.910034,1338.650024,1354.599976,000,1354.599976
2016-06-21,1340.00,1346.920044,1331.50,1344.589966,000,1344.589966
2016-06-20,1301.390015,1340.359985,1301.390015,1340.290039,000,1340.290039
2016-06-17,1280.579956,1300.27002,1280.579956,1298.380005,000,1298.380005
2016-06-16,1301.27002,1301.27002,1270.709961,1278.709961,000,1278.709961
2016-06-15,1275.890015,1306.890015,1275.890015,1304.089966,000,1304.089966
2016-06-14,1294.319946,1294.319946,1270.160034,1273.969971,000,1273.969971
2016-06-13,1312.790039,1312.790039,1290.369995,1294.51001,000,1294.51001
2016-06-10,1343.150024,1343.150024,1313.359985,1315.060059,000,1315.060059
2016-06-09,1361.579956,1362.449951,1343.219971,1344.00,000,1344.00
2016-06-08,1366.560059,1366.560059,1359.109985,1361.48999,000,1361.48999
2016-06-07,1346.98999,1369.030029,1346.98999,1367.150024,000,1367.150024
2016-06-03,1360.400024,1369.680054,1338.939941,1345.439941,000,1345.439941
2016-06-02,1357.099976,1364.119995,1354.939941,1359.140015,000,1359.140015
2016-06-01,1369.579956,1369.579956,1351.900024,1356.75,000,1356.75
2016-05-31,1380.140015,1383.380005,1368.530029,1369.47998,000,1369.47998
2016-05-30,1376.540039,1380.439941,1371.689941,1379.810059,000,1379.810059
2016-05-27,1375.72998,1379.199951,1370.390015,1376.50,000,1376.50
2016-05-26,1365.790039,1376.439941,1364.170044,1376.150024,000,1376.150024
2016-05-25,1358.23999,1370.449951,1358.23999,1367.069946,000,1367.069946
2016-05-24,1337.849976,1358.680054,1327.560059,1357.099976,000,1357.099976
2016-05-23,1342.579956,1345.52002,1332.030029,1338.969971,000,1338.969971
2016-05-20,1322.22998,1342.98999,1322.22998,1342.680054,000,1342.680054
2016-05-19,1340.75,1340.75,1321.800049,1321.800049,000,1321.800049
2016-05-18,1331.50,1340.959961,1322.26001,1340.930054,000,1340.930054
2016-05-17,1336.140015,1348.459961,1327.550049,1331.709961,000,1331.709961
2016-05-16,1323.25,1336.630005,1311.609985,1336.140015,000,1336.140015
2016-05-13,1311.930054,1325.849976,1304.859985,1323.180054,000,1323.180054
2016-05-12,1325.969971,1332.699951,1311.300049,1312.280029,000,1312.280029
2016-05-11,1331.00,1338.52002,1321.790039,1326.130005,000,1326.130005
2016-05-10,1328.680054,1342.26001,1328.680054,1332.579956,000,1332.579956
2016-05-09,1309.52002,1336.609985,1309.52002,1328.199951,000,1328.199951
2016-05-06,1317.689941,1317.689941,1300.900024,1309.170044,000,1309.170044
2016-05-04,1335.390015,1336.00,1318.02002,1319.170044,000,1319.170044
2016-05-03,1352.910034,1353.47998,1326.349976,1335.390015,000,1335.390015
2016-05-02,1360.709961,1365.069946,1350.619995,1352.910034,000,1352.910034
2016-04-29,1389.609985,1389.609985,1357.900024,1360.709961,000,1360.709961
2016-04-28,1385.920044,1391.26001,1364.410034,1389.609985,000,1389.609985
2016-04-27,1388.949951,1395.75,1382.119995,1386.780029,000,1386.780029
2016-04-26,1389.23999,1399.949951,1386.719971,1389.800049,000,1389.800049
2016-04-25,1396.569946,1401.339966,1384.98999,1389.569946,000,1389.569946
2016-04-22,1408.52002,1408.930054,1392.569946,1396.369995,000,1396.369995
2016-04-21,1419.849976,1422.790039,1402.00,1409.48999,000,1409.48999
2016-04-20,1408.599976,1419.800049,1404.130005,1419.670044,000,1419.670044
2016-04-19,1383.339966,1413.829956,1383.339966,1410.869995,000,1410.869995
2016-04-18,1380.26001,1386.449951,1364.660034,1381.890015,000,1381.890015
2016-04-15,1383.98999,1387.109985,1379.030029,1381.329956,000,1381.329956
2016-04-14,1393.099976,1396.469971,1381.52002,1384.109985,000,1384.109985
2016-04-13,1368.650024,1394.819946,1368.650024,1392.589966,000,1392.589966
2016-04-12,1368.040039,1368.640015,1353.22998,1366.599976,000,1366.599976
2016-04-11,1364.410034,1376.369995,1353.569946,1368.619995,000,1368.619995
2016-04-08,1331.380005,1365.00,1331.380005,1364.939941,000,1364.939941
2016-04-07,1348.869995,1349.040039,1330.51001,1330.839966,000,1330.839966
